epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7586,2.01663,3.59288,2.16095,0.27833,0.30849,0.26002,0.0853,2.23906,2.65376,2.46089,0.00032963,0.00032963,0.00032963
2,32.5899,1.81649,2.76651,1.9665,0.73961,0.24126,0.35151,0.14378,2.00754,2.79316,2.37763,0.000649836,0.000649836,0.000649836
3,48.2218,1.78254,2.53732,1.94263,0.51242,0.36656,0.34453,0.1408,2.14562,2.68608,2.34426,0.000956843,0.000956843,0.000956843
4,63.764,1.74809,2.30613,1.90617,0.42024,0.29778,0.19534,0.06899,2.40773,2.79461,2.47251,0.0009406,0.0009406,0.0009406
5,79.3019,1.73506,2.23724,1.90309,0.56891,0.43658,0.45967,0.19402,1.85793,2.16956,2.17698,0.0009208,0.0009208,0.0009208
6,94.7628,1.69855,2.10857,1.86887,0.53346,0.39531,0.362,0.14829,2.11325,2.16043,2.21791,0.000901,0.000901,0.000901
7,110.302,1.67093,2.00318,1.84742,0.46858,0.4753,0.47104,0.19634,1.91205,2.08686,2.14585,0.0008812,0.0008812,0.0008812
8,125.885,1.64648,1.92398,1.83802,0.49086,0.53578,0.50184,0.21361,1.90479,1.9174,2.1097,0.0008614,0.0008614,0.0008614
9,141.475,1.64729,1.85769,1.81073,0.47976,0.47438,0.52455,0.23105,1.93726,1.9333,2.21806,0.0008416,0.0008416,0.0008416
10,156.941,1.61166,1.79397,1.77262,0.61496,0.47229,0.49177,0.20566,1.994,1.9665,2.14852,0.0008218,0.0008218,0.0008218
11,172.399,1.60528,1.77488,1.78269,0.80363,0.48627,0.56679,0.25491,1.74177,1.77584,2.02058,0.000802,0.000802,0.000802
12,187.858,1.58547,1.70561,1.77811,0.64998,0.47454,0.52547,0.24185,1.89709,1.83705,2.07866,0.0007822,0.0007822,0.0007822
13,203.396,1.55053,1.69544,1.72206,0.71618,0.52341,0.60574,0.27748,1.81499,1.60015,2.01282,0.0007624,0.0007624,0.0007624
14,218.979,1.55589,1.68752,1.73622,0.6027,0.5942,0.61592,0.31096,1.69476,1.63445,1.94735,0.0007426,0.0007426,0.0007426
15,234.58,1.54609,1.6619,1.73124,0.52355,0.61667,0.61122,0.28301,1.74602,1.67072,1.9796,0.0007228,0.0007228,0.0007228
16,250.206,1.54205,1.66887,1.73607,0.63913,0.52069,0.56779,0.2683,1.76591,1.69643,1.95922,0.000703,0.000703,0.000703
17,265.9,1.53894,1.59235,1.71674,0.60522,0.52299,0.59667,0.28415,1.72326,1.833,1.95111,0.0006832,0.0006832,0.0006832
18,281.565,1.52176,1.58301,1.69829,0.74528,0.55338,0.64991,0.31254,1.69455,1.52607,1.92735,0.0006634,0.0006634,0.0006634
19,297.205,1.51172,1.58617,1.70562,0.56001,0.60868,0.59875,0.29287,1.72961,1.65399,1.92837,0.0006436,0.0006436,0.0006436
20,312.932,1.48898,1.55779,1.70091,0.63852,0.59479,0.62886,0.3058,1.68015,1.5789,1.93215,0.0006238,0.0006238,0.0006238
21,328.576,1.51794,1.58147,1.70814,0.52713,0.66337,0.64093,0.29342,1.71382,1.57832,1.91682,0.000604,0.000604,0.000604
22,344.165,1.48465,1.54429,1.67747,0.61836,0.59747,0.65628,0.32491,1.63842,1.53793,1.87948,0.0005842,0.0005842,0.0005842
23,359.778,1.47663,1.51136,1.67853,0.60288,0.57347,0.63358,0.3242,1.62732,1.58628,1.89576,0.0005644,0.0005644,0.0005644
24,375.435,1.44824,1.48886,1.64003,0.5762,0.63116,0.65828,0.33218,1.64133,1.51804,1.89262,0.0005446,0.0005446,0.0005446
25,391.189,1.46178,1.48977,1.65973,0.53963,0.67754,0.65961,0.33429,1.63989,1.48994,1.85375,0.0005248,0.0005248,0.0005248
26,406.894,1.45077,1.47051,1.64155,0.59048,0.67681,0.66957,0.33624,1.63927,1.50917,1.8779,0.000505,0.000505,0.000505
27,422.572,1.422,1.43423,1.63113,0.62684,0.62072,0.66688,0.34602,1.60034,1.46915,1.8227,0.0004852,0.0004852,0.0004852
28,438.157,1.45503,1.46221,1.65693,0.57512,0.64519,0.66643,0.33566,1.62371,1.48314,1.87902,0.0004654,0.0004654,0.0004654
29,453.635,1.41113,1.40445,1.61204,0.59286,0.65207,0.67006,0.34813,1.62173,1.44269,1.84566,0.0004456,0.0004456,0.0004456
30,469.182,1.43267,1.42343,1.65094,0.58238,0.67173,0.70189,0.36074,1.62642,1.43946,1.85272,0.0004258,0.0004258,0.0004258
31,484.709,1.40754,1.41543,1.6408,0.62961,0.63707,0.68041,0.35007,1.6381,1.44098,1.87872,0.000406,0.000406,0.000406
32,500.339,1.39643,1.36686,1.60628,0.56812,0.68004,0.68172,0.35546,1.61475,1.39742,1.87393,0.0003862,0.0003862,0.0003862
33,515.914,1.38535,1.37221,1.61547,0.64619,0.64165,0.68259,0.33897,1.68387,1.41957,1.91051,0.0003664,0.0003664,0.0003664
34,531.51,1.38253,1.38972,1.60212,0.59334,0.64225,0.67667,0.35624,1.61015,1.3991,1.84837,0.0003466,0.0003466,0.0003466
35,547.07,1.36296,1.34092,1.57446,0.61412,0.66425,0.70523,0.3661,1.59975,1.38437,1.87132,0.0003268,0.0003268,0.0003268
36,562.689,1.34579,1.33962,1.56921,0.66256,0.65284,0.69442,0.36168,1.55903,1.3931,1.82728,0.000307,0.000307,0.000307
37,578.416,1.35628,1.32046,1.58132,0.65837,0.68783,0.70647,0.37567,1.57582,1.37466,1.81922,0.0002872,0.0002872,0.0002872
38,594.012,1.32767,1.31075,1.56746,0.60352,0.69221,0.69131,0.36341,1.56353,1.38301,1.79612,0.0002674,0.0002674,0.0002674
39,609.605,1.33752,1.28689,1.58169,0.65389,0.66823,0.7071,0.37212,1.5894,1.35385,1.83862,0.0002476,0.0002476,0.0002476
40,625.212,1.33595,1.27116,1.56779,0.66482,0.67196,0.70973,0.38281,1.55038,1.31513,1.79273,0.0002278,0.0002278,0.0002278
41,648.598,1.32986,1.22655,1.6069,0.6395,0.68206,0.70625,0.373,1.59813,1.32638,1.80992,0.000208,0.000208,0.000208
42,664.103,1.2975,1.19024,1.587,0.65637,0.69849,0.73098,0.39735,1.54868,1.30524,1.80028,0.0001882,0.0001882,0.0001882
43,679.616,1.28122,1.1629,1.56381,0.62324,0.71629,0.72182,0.38437,1.58125,1.3156,1.8057,0.0001684,0.0001684,0.0001684
44,695.183,1.27829,1.1551,1.56675,0.68767,0.6728,0.71337,0.3907,1.53538,1.29643,1.79212,0.0001486,0.0001486,0.0001486
45,710.797,1.25522,1.15299,1.55667,0.64627,0.70877,0.72208,0.39264,1.56802,1.29954,1.7939,0.0001288,0.0001288,0.0001288
